,date,type,value
124,2021-04-14,FlightsClimbed,10.0
125,2021-04-14,StepCount,2842.0
126,2021-04-15,DistanceWalkingRunning,1.96062
127,2021-04-15,FlightsClimbed,11.0
128,2021-04-15,StepCount,3029.0
129,2021-04-16,DistanceWalkingRunning,4.5671
130,2021-04-16,FlightsClimbed,2.0
131,2021-04-16,StepCount,6109.0
132,2021-04-17,DistanceWalkingRunning,5.61301
133,2021-04-17,FlightsClimbed,13.0
134,2021-04-17,StepCount,7609.0
135,2021-04-18,DistanceWalkingRunning,2.66712
136,2021-04-18,FlightsClimbed,3.0
137,2021-04-18,StepCount,4386.0
138,2021-04-19,DistanceWalkingRunning,4.58747
139,2021-04-19,FlightsClimbed,27.0
140,2021-04-19,StepCount,6784.0
141,2021-04-20,DistanceWalkingRunning,1.48314
142,2021-04-20,FlightsClimbed,4.0
143,2021-04-20,StepCount,2432.0
144,2021-04-21,DistanceWalkingRunning,2.30408
145,2021-04-21,FlightsClimbed,17.0
146,2021-04-21,StepCount,3737.0
147,2021-04-22,DistanceWalkingRunning,2.70886
148,2021-04-22,FlightsClimbed,20.0
149,2021-04-22,StepCount,4144.0
150,2021-04-23,DistanceWalkingRunning,2.67204
151,2021-04-23,FlightsClimbed,10.0
152,2021-04-23,StepCount,3700.0
153,2021-04-24,DistanceWalkingRunning,1.71299
154,2021-04-24,FlightsClimbed,8.0
155,2021-04-24,StepCount,2598.0
156,2021-04-25,DistanceWalkingRunning,1.75315
157,2021-04-25,FlightsClimbed,2.0
158,2021-04-25,StepCount,2980.0
159,2021-04-26,DistanceWalkingRunning,1.71719
160,2021-04-26,FlightsClimbed,9.0
161,2021-04-26,StepCount,2601.0
162,2021-04-27,DistanceWalkingRunning,0.38689
163,2021-04-27,StepCount,577.0
164,2021-04-28,DistanceWalkingRunning,1.76787
165,2021-04-28,FlightsClimbed,8.0
166,2021-04-28,StepCount,2658.0
167,2021-04-29,DistanceWalkingRunning,2.64142
168,2021-04-29,FlightsClimbed,20.0
169,2021-04-29,StepCount,4112.0
170,2021-04-30,DistanceWalkingRunning,3.88266
171,2021-04-30,FlightsClimbed,7.0
172,2021-04-30,StepCount,5281.0
173,2021-05-01,DistanceWalkingRunning,4.36206
174,2021-05-01,FlightsClimbed,4.0
175,2021-05-01,StepCount,7583.0
176,2021-05-02,DistanceWalkingRunning,2.47566
177,2021-05-02,FlightsClimbed,2.0
178,2021-05-02,StepCount,4463.0
179,2021-05-03,DistanceWalkingRunning,2.08086
180,2021-05-03,FlightsClimbed,16.0
181,2021-05-03,StepCount,3144.0
182,2021-05-04,DistanceWalkingRunning,0.33725
183,2021-05-04,StepCount,486.0
184,2021-05-05,DistanceWalkingRunning,2.53176
185,2021-05-05,FlightsClimbed,18.0
186,2021-05-05,StepCount,3818.0
187,2021-05-06,DistanceWalkingRunning,3.048
188,2021-05-06,FlightsClimbed,26.0
189,2021-05-06,StepCount,4502.0
190,2021-05-07,DistanceWalkingRunning,2.3066299999999997
191,2021-05-07,FlightsClimbed,2.0
192,2021-05-07,StepCount,4003.0
193,2021-05-08,DistanceWalkingRunning,2.04929
194,2021-05-08,FlightsClimbed,18.0
195,2021-05-08,StepCount,3066.0
196,2021-05-09,DistanceWalkingRunning,3.06151
197,2021-05-09,StepCount,5329.0
198,2021-05-10,DistanceWalkingRunning,4.63809
199,2021-05-10,FlightsClimbed,8.0
200,2021-05-10,StepCount,7632.0
201,2021-05-11,DistanceWalkingRunning,0.36372
202,2021-05-11,StepCount,525.0
203,2021-05-12,DistanceWalkingRunning,4.35054
204,2021-05-12,FlightsClimbed,12.0
205,2021-05-12,StepCount,7467.0
206,2021-05-13,DistanceWalkingRunning,2.01863
207,2021-05-13,FlightsClimbed,11.0
208,2021-05-13,StepCount,3225.0
209,2021-05-14,DistanceWalkingRunning,0.30962
210,2021-05-14,StepCount,446.0
211,2021-05-15,DistanceWalkingRunning,1.78407
212,2021-05-15,FlightsClimbed,3.0
213,2021-05-15,StepCount,2936.0
214,2021-05-16,DistanceWalkingRunning,3.9894800000000004
215,2021-05-16,FlightsClimbed,2.0
216,2021-05-16,StepCount,6939.0
217,2021-05-17,DistanceWalkingRunning,1.85851
218,2021-05-17,FlightsClimbed,12.0
219,2021-05-17,StepCount,3006.0
220,2021-05-18,DistanceWalkingRunning,0.22816
221,2021-05-18,StepCount,327.0
222,2021-05-19,DistanceWalkingRunning,3.31003
223,2021-05-19,FlightsClimbed,9.0
224,2021-05-19,StepCount,4764.0
225,2021-05-20,DistanceWalkingRunning,6.56722
226,2021-05-20,FlightsClimbed,17.0
227,2021-05-20,StepCount,9032.0
228,2021-05-21,DistanceWalkingRunning,7.846299
229,2021-05-21,FlightsClimbed,8.0
230,2021-05-21,StepCount,12107.0
231,2021-05-22,DistanceWalkingRunning,2.9925900000000003
232,2021-05-22,FlightsClimbed,7.0
233,2021-05-22,StepCount,4737.0
234,2021-05-23,DistanceWalkingRunning,2.55092
235,2021-05-23,FlightsClimbed,2.0
236,2021-05-23,StepCount,3833.0
237,2021-05-24,DistanceWalkingRunning,2.43913
238,2021-05-24,FlightsClimbed,18.0
239,2021-05-24,StepCount,3938.0
240,2021-05-25,DistanceWalkingRunning,0.43279
241,2021-05-25,StepCount,617.0
242,2021-05-26,DistanceWalkingRunning,6.036
243,2021-05-26,FlightsClimbed,24.0
244,2021-05-26,StepCount,10194.0
245,2021-05-27,DistanceWalkingRunning,3.09274
246,2021-05-27,FlightsClimbed,21.0
247,2021-05-27,StepCount,5181.0
248,2021-05-28,DistanceWalkingRunning,4.24669
249,2021-05-28,FlightsClimbed,13.0
250,2021-05-28,StepCount,6823.0
251,2021-05-29,DistanceWalkingRunning,4.51139
252,2021-05-29,FlightsClimbed,8.0
253,2021-05-29,StepCount,7614.0
254,2021-05-30,DistanceWalkingRunning,2.70308
255,2021-05-30,FlightsClimbed,3.0
256,2021-05-30,StepCount,4397.0
257,2021-05-31,DistanceWalkingRunning,1.6714200000000001
258,2021-05-31,FlightsClimbed,9.0
259,2021-05-31,StepCount,2697.0
260,2021-06-01,DistanceWalkingRunning,1.79361
261,2021-06-01,FlightsClimbed,3.0
262,2021-06-01,StepCount,3004.0
263,2021-06-02,DistanceWalkingRunning,1.6658499999999998
264,2021-06-02,FlightsClimbed,15.0
265,2021-06-02,StepCount,2699.0
266,2021-06-03,DistanceWalkingRunning,4.08084
267,2021-06-03,FlightsClimbed,15.0
268,2021-06-03,StepCount,6648.0
269,2021-06-04,DistanceWalkingRunning,4.4258
270,2021-06-04,FlightsClimbed,11.0
271,2021-06-04,StepCount,7517.0
272,2021-06-05,DistanceWalkingRunning,1.58494
273,2021-06-05,FlightsClimbed,3.0
274,2021-06-05,StepCount,2574.0
275,2021-06-06,DistanceWalkingRunning,2.3991800000000003
276,2021-06-06,FlightsClimbed,3.0
277,2021-06-06,StepCount,3857.0
278,2021-06-07,DistanceWalkingRunning,2.91436
279,2021-06-07,FlightsClimbed,22.0
280,2021-06-07,StepCount,4711.0
281,2021-06-08,DistanceWalkingRunning,1.64534
282,2021-06-08,FlightsClimbed,1.0
283,2021-06-08,StepCount,2757.0
284,2021-06-09,DistanceWalkingRunning,0.23382
285,2021-06-09,StepCount,348.0
286,2021-06-10,DistanceWalkingRunning,1.53847
287,2021-06-10,FlightsClimbed,12.0
288,2021-06-10,StepCount,2466.0
289,2021-06-11,DistanceWalkingRunning,1.80185
290,2021-06-11,FlightsClimbed,3.0
291,2021-06-11,StepCount,2794.0
292,2021-06-12,DistanceWalkingRunning,7.31469
